site_code,date,n_cots_surveys
GR,2025-09-16,3
AL,2025-03-05,2
AL,2025-04-16,2
AL,2025-04-21,2
AL,2025-08-11,2
GR,2020-05-19,2
GR,2020-07-13,2
GR,2020-08-21,2
RR,2025-09-16,2
SI,2025-03-25,2
SI,2025-04-07,2
SI,2025-05-06,2
SI,2025-05-29,2
SI,2026-02-25,2
TB,2025-09-30,2
TW,2025-03-24,2
TW,2026-02-09,2
AL,2025-02-28,1
AL,2025-03-13,1
AL,2025-06-18,1
AL,2025-06-24,1
AL,2025-08-07,1
AL,2025-08-28,1
AL,2025-09-01,1
AL,2025-09-25,1
AL,2025-10-07,1
AL,2026-02-10,1
AL,2026-04-20,1
AL,2026-05-12,1
GR,2020-05-26,1
GR,2020-07-19,1
GR,2020-08-06,1
GR,2020-08-15,1
GR,2020-08-16,1
GR,2020-08-18,1
GR,2020-09-22,1
GR,2020-09-27,1
GR,2020-09-29,1
GR,2022-10-20,1
GR,2022-11-22,1
GR,2023-10-04,1
GR,2024-02-03,1
GR,2024-02-20,1
GR,2024-03-25,1
GR,2024-04-09,1
GR,2024-04-16,1
GR,2024-06-04,1
GR,2024-08-03,1
GR,2024-08-26,1
GR,2024-10-16,1
GR,2024-10-21,1
GR,2025-01-29,1
GR,2025-02-19,1
GR,2025-02-28,1
GR,2025-03-19,1
GR,2025-03-26,1
GR,2025-04-22,1
GR,2025-05-21,1
GR,2025-06-05,1
GR,2025-10-21,1
GR,2026-01-19,1
GR,2026-02-10,1
GR,2026-03-19,1
GR,2026-04-15,1
GR,2026-05-22,1
RR,2023-04-01,1
RR,2023-05-03,1
RR,2023-09-30,1
RR,2023-10-01,1
RR,2023-10-04,1
RR,2024-01-31,1
RR,2024-03-24,1
RR,2024-04-06,1
RR,2024-05-21,1
RR,2024-05-25,1
RR,2024-07-04,1
RR,2024-08-14,1
RR,2024-08-25,1
RR,2024-09-04,1
RR,2024-09-12,1
RR,2024-10-21,1
RR,2025-01-29,1
RR,2025-02-12,1
RR,2025-04-08,1
RR,2025-05-21,1
RR,2025-05-26,1
RR,2025-06-05,1
RR,2025-06-11,1
RR,2025-06-25,1
RR,2025-10-07,1
RR,2026-01-19,1
RR,2026-02-10,1
RR,2026-03-02,1
RR,2026-04-15,1
RR,2026-05-22,1
SI,2025-02-05,1
SI,2025-03-21,1
SI,2025-04-02,1
SI,2025-06-18,1
SI,2025-08-07,1
SI,2025-09-24,1
SI,2025-10-02,1
SI,2026-03-26,1
SI,2026-04-16,1
SI,2026-05-28,1
TB,2025-06-24,1
TB,2025-08-11,1
TB,2025-09-01,1
TB,2026-02-10,1
TB,2026-04-20,1
TB,2026-05-12,1
TW,2024-09-11,1
TW,2025-01-28,1
TW,2025-02-04,1
TW,2025-02-10,1
TW,2025-02-12,1
TW,2025-03-04,1
TW,2025-04-01,1
TW,2025-05-12,1
TW,2025-06-16,1
TW,2025-06-26,1
TW,2025-08-06,1
TW,2025-08-14,1
TW,2025-09-04,1
TW,2025-10-07,1
TW,2026-02-24,1
TW,2026-03-16,1
TW,2026-04-21,1
TW,2026-05-11,1
