site_code,site,substrate,mean_pct,sd_pct,n_transects
AL,Aow Leuk,AB,25.698729019752303,13.243944073974056,9
AL,Aow Leuk,HC,33.48649925254956,13.870553289363171,9
AL,Aow Leuk,MAC,1.0852245134072034,1.6655978737214883,8
AL,Aow Leuk,OB,6.164290076182336,5.638258631154452,7
AL,Aow Leuk,SP,0.14016064257028113,0.08462563084079967,2
AL,Aow Leuk,TUR,33.93852168468359,12.307047591405889,9
AL,Aow Leuk,UKN,3.258034153818781,4.755943096278437,3
GR,Green Rock,AB,25.457671965837918,21.000153353472857,8
GR,Green Rock,HC,37.58818731121894,14.018607879621879,8
GR,Green Rock,MAC,3.1626692511049592,2.504911181516139,8
GR,Green Rock,OB,5.787348113907313,2.833020650846723,8
GR,Green Rock,SC,0.17050298380221654,NA,1
GR,Green Rock,SP,0.24664262397791595,0.2143078081539525,3
GR,Green Rock,TUR,27.589095011167956,17.263224790521015,8
GR,Green Rock,UKN,0.4819591836734694,0.36224189708443716,5
RR,Red Rock,AB,10.514394001297926,16.884400022499808,6
RR,Red Rock,HC,48.87349921798384,5.546690212204853,6
RR,Red Rock,MAC,3.3301360820675368,1.9025604341171383,6
RR,Red Rock,OB,4.392316431352562,2.1938920537895323,6
RR,Red Rock,SC,0.40816326530612246,NA,1
RR,Red Rock,SP,0.3207677470054533,0.12359592727143237,2
RR,Red Rock,TUR,32.4213070895043,13.119254386825805,6
RR,Red Rock,UKN,0.44009607686148916,0.13860117287242593,4
SI,Shark Island,AB,11.903974876459243,12.779776763245659,7
SI,Shark Island,HC,63.616640884020676,14.758864852873955,7
SI,Shark Island,MAC,1.6019423666019266,1.1152466855690804,7
SI,Shark Island,OB,3.2858835934869686,2.730611734218036,7
SI,Shark Island,SC,0.7252215954875101,NA,1
SI,Shark Island,TUR,19.065015169036347,10.01672577566865,7
SI,Shark Island,UKN,0.9868600590921299,1.5014684206262758,3
TB,Tanote Bay,AB,24.779739861931354,11.124498071516976,7
TB,Tanote Bay,HC,51.203853685401974,9.582965283609823,7
TB,Tanote Bay,MAC,1.8718740674657859,1.3620157878243064,7
TB,Tanote Bay,OB,4.035666113923601,3.3712561452343004,7
TB,Tanote Bay,SC,0.202406658963406,0.059245670411189,2
TB,Tanote Bay,SP,0.08025682182985554,NA,1
TB,Tanote Bay,TUR,17.592768323550175,7.689258388220162,7
TB,Tanote Bay,UKN,0.5212692490555222,0.4016579125431301,6
TW,Twins,AB,18.918698725657475,8.734175356548871,5
TW,Twins,HC,37.71708262933419,9.565150356214623,5
TW,Twins,MAC,1.2173595914710096,0.5056352705561484,5
TW,Twins,OB,4.148359654095905,1.34378971803915,5
TW,Twins,SC,0.4807692307692308,NA,1
TW,Twins,SP,0.8814102564102564,NA,1
TW,Twins,TUR,37.05326850644252,15.205079993912863,5
TW,Twins,UKN,0.8409937444537499,0.8073998592649396,4
