site_code,site,substrate,First,Last,diff_last_minus_first
AL,Aow Leuk,TUR,51.76,32.8525641025641,-18.907435897435896
AL,Aow Leuk,OB,2.2399999999999998,16.826923076923077,14.586923076923076
AL,Aow Leuk,UKN,0.88,8.733974358974358,7.853974358974358
AL,Aow Leuk,AB,16.32,13.62179487179487,-2.69820512820513
AL,Aow Leuk,MAC,1.8399999999999999,0.08012820512820512,-1.7598717948717948
AL,Aow Leuk,HC,26.96,27.884615384615387,0.924615384615386
AL,Aow Leuk,SC,0,0,0
AL,Aow Leuk,SP,0,0,0
GR,Green Rock,TUR,47.44,15.26530612244898,-32.17469387755102
GR,Green Rock,HC,39.519999999999996,54.69387755102041,15.17387755102041
GR,Green Rock,AB,5.12,15.10204081632653,9.982040816326531
GR,Green Rock,MAC,1.44,8.816326530612246,7.376326530612246
GR,Green Rock,OB,6.32,5.142857142857142,-1.177142857142858
GR,Green Rock,SP,0,0.4897959183673469,0.4897959183673469
GR,Green Rock,UKN,0.16,0.4897959183673469,0.3297959183673469
GR,Green Rock,SC,0,0,0
RR,Red Rock,MAC,6.88,1.5510204081632653,-5.328979591836735
RR,Red Rock,TUR,38.879999999999995,35.3469387755102,-3.533061224489792
RR,Red Rock,AB,2.4,5.877551020408163,3.4775510204081628
RR,Red Rock,OB,2.88,6.2857142857142865,3.4057142857142866
RR,Red Rock,HC,48.4,50.12244897959184,1.7224489795918387
RR,Red Rock,UKN,0.5599999999999999,0,-0.5599999999999999
RR,Red Rock,SC,0,0.40816326530612246,0.40816326530612246
RR,Red Rock,SP,0,0.40816326530612246,0.40816326530612246
SI,Shark Island,HC,75.10008006405124,44.96,-30.14008006405124
SI,Shark Island,AB,1.6012810248198557,29.2,27.598718975180144
SI,Shark Island,MAC,1.0408326661329064,3.84,2.7991673338670937
SI,Shark Island,TUR,20.816653322658127,18.64,-2.176653322658126
SI,Shark Island,OB,1.4411529223378703,3.36,1.9188470776621296
SI,Shark Island,SC,0,0,0
SI,Shark Island,SP,0,0,0
SI,Shark Island,UKN,0,0,0
TB,Tanote Bay,AB,10.96,32.90529695024077,21.945296950240767
TB,Tanote Bay,HC,66.64,48.31460674157304,-18.325393258426963
TB,Tanote Bay,TUR,21.36,6.982343499197431,-14.37765650080257
TB,Tanote Bay,OB,0.64,10.192616372391655,9.552616372391654
TB,Tanote Bay,UKN,0.24,1.2038523274478332,0.9638523274478332
TB,Tanote Bay,SC,0,0.16051364365971107,0.16051364365971107
TB,Tanote Bay,SP,0,0.08025682182985554,0.08025682182985554
TB,Tanote Bay,MAC,0.16,0.16051364365971107,5.136436597110716e-4
TW,Twins,AB,12.489991993594876,33.41346153846153,20.923469544866656
TW,Twins,TUR,27.381905524419537,16.907051282051285,-10.474854242368252
TW,Twins,HC,51.24099279423538,42.38782051282051,-8.85317228141487
TW,Twins,UKN,1.921537229783827,0.08012820512820512,-1.8414090246556218
TW,Twins,SP,0,0.8814102564102564,0.8814102564102564
TW,Twins,MAC,1.200960768614892,0.641025641025641,-0.559935127589251
TW,Twins,OB,5.764611689351481,5.208333333333334,-0.5562783560181472
TW,Twins,SC,0,0.4807692307692308,0.4807692307692308
