"Effect","Estimate","SE","CI","p_value"
"(Intercept)",0.939,0.106,"[0.732, 1.15]","<0.001"
"substrateMAC",-2.99,0.228,"[-3.44, -2.55]","<0.001"
"substrateHC",-3.8,0.208,"[-4.2, -3.39]","<0.001"
"familyRabbitfish",0.415,0.151,"[0.118, 0.712]","0.006"
"familyButterflyfish",-1.28,0.154,"[-1.58, -0.98]","<0.001"
"avail_pct_sc",0.323,0.106,"[0.115, 0.531]","0.002"
"cots_mean_ha_sc",-0.062,0.0427,"[-0.146, 0.0217]","0.147"
"substrateMAC:familyRabbitfish",-0.241,0.245,"[-0.72, 0.238]","0.324"
"substrateHC:familyRabbitfish",-0.473,0.253,"[-0.969, 0.0219]","0.061"
"substrateMAC:familyButterflyfish",0.533,0.296,"[-0.0475, 1.11]","0.072"
"substrateHC:familyButterflyfish",3.78,0.243,"[3.3, 4.26]","<0.001"
