site_code,site,site_type,substrate,mean_pct,sd_pct,n_transects
AL,Aow Leuk,Control,AB,25.698729019752303,13.243944073974056,9
AL,Aow Leuk,Control,HC,33.48649925254956,13.870553289363171,9
AL,Aow Leuk,Control,MAC,0.9646440119175141,1.5994674608703032,9
AL,Aow Leuk,Control,OB,4.794447837030706,5.5884758297308865,9
AL,Aow Leuk,Control,SC,0,0,9
AL,Aow Leuk,Control,SP,0.031146809460062472,0.06866621730403404,9
AL,Aow Leuk,Control,TUR,33.93852168468359,12.307047591405889,9
AL,Aow Leuk,Control,UKN,1.0860113846062602,2.8824373923161013,9
GR,NA,High Density,AB,25.457671965837918,21.000153353472857,8
GR,NA,High Density,HC,37.58818731121894,14.018607879621879,8
GR,NA,High Density,MAC,3.1626692511049597,2.5049111815161385,8
GR,NA,High Density,OB,5.787348113907313,2.833020650846723,8
GR,NA,High Density,SC,0.021312872975277068,0.060281908029543696,8
GR,NA,High Density,SP,0.09249098399171848,0.17151291838125568,8
GR,NA,High Density,TUR,27.589095011167956,17.263224790521015,8
GR,NA,High Density,UKN,0.30122448979591837,0.3704072075098706,8
RR,NA,High Density,AB,10.514394001297926,16.884400022499808,6
RR,NA,High Density,HC,48.87349921798384,5.546690212204853,6
RR,NA,High Density,MAC,3.3301360820675368,1.9025604341171383,6
RR,NA,High Density,OB,4.392316431352562,2.1938920537895323,6
RR,NA,High Density,SC,0.06802721088435373,0.16663195529137267,6
RR,NA,High Density,SP,0.10692258233515109,0.17462257391110186,6
RR,NA,High Density,TUR,32.4213070895043,13.119254386825803,6
RR,NA,High Density,UKN,0.2933973845743261,0.2513471428880787,6
SI,Shark Island,Control,AB,11.903974876459243,12.779776763245659,7
SI,Shark Island,Control,HC,63.616640884020676,14.758864852873955,7
SI,Shark Island,Control,MAC,1.6019423666019266,1.1152466855690804,7
SI,Shark Island,Control,OB,3.2858835934869686,2.730611734218036,7
SI,Shark Island,Control,SC,0.1036030850696443,0.2741079981533477,7
SI,Shark Island,Control,SP,0,0,7
SI,Shark Island,Control,TUR,19.065015169036347,10.01672577566865,7
SI,Shark Island,Control,UKN,0.42294002532519864,1.0147532795229373,7
TB,Tanote Bay,Control,AB,24.779739861931354,11.124498071516976,7
TB,Tanote Bay,Control,HC,51.203853685401974,9.582965283609823,7
TB,Tanote Bay,Control,MAC,1.8718740674657859,1.3620157878243064,7
TB,Tanote Bay,Control,OB,4.035666113923601,3.371256145234301,7
TB,Tanote Bay,Control,SC,0.05783047398954457,0.10168285220473558,7
TB,Tanote Bay,Control,SP,0.011465260261407935,0.03033422736831679,7
TB,Tanote Bay,Control,TUR,17.592768323550175,7.689258388220163,7
TB,Tanote Bay,Control,UKN,0.44680221347616184,0.41624304755707087,7
TW,NA,High Density,AB,18.918698725657475,8.734175356548871,5
TW,NA,High Density,HC,37.71708262933419,9.565150356214621,5
TW,NA,High Density,MAC,1.2173595914710096,0.5056352705561484,5
TW,NA,High Density,OB,4.148359654095905,1.34378971803915,5
TW,NA,High Density,SC,0.09615384615384616,0.21500653629805672,5
TW,NA,High Density,SP,0.17628205128205127,0.3941786498797706,5
TW,NA,High Density,TUR,37.05326850644252,15.205079993912863,5
TW,NA,High Density,UKN,0.6727949955629999,0.7939615829483508,5
