site_code,site,transect,AB,HC,MAC,OB,TUR,UKN,O,SP,SC
AL,Aow Leuk,AL1,16.32,26.96,1.8399999999999999,2.2399999999999998,51.76,0.88,0,0,0
AL,Aow Leuk,AL2,19.855884707766215,22.017614091273018,0.4803843074459567,9.607686148919136,47.87830264211369,0.16012810248198558,0,0,0
AL,Aow Leuk,AL3,37.77064955894146,31.11467522052927,0.40096230954290296,0.40096230954290296,30.152365677626303,0,0.16038492381716118,0,0
AL,Aow Leuk,AL4,55.983935742971894,22.248995983935743,0.08032128514056225,0,21.606425702811244,0,0,0.08032128514056225,0
AL,Aow Leuk,AL5,19.6,57.99999999999999,0.2,0,22,0,0,0.2,0
AL,Aow Leuk,AL6,20.4,25.759999999999998,4.96,6.800000000000001,42.08,0,0,0,0
AL,Aow Leuk,AL7,23.44,30.8,0.64,5.04,40.08,0,0,0,0
AL,Aow Leuk,AL8,24.296296296296298,56.592592592592595,0,2.074074074074074,17.037037037037038,0,0,0,0
AL,Aow Leuk,AL9,13.62179487179487,27.884615384615387,0.08012820512820512,16.826923076923077,32.8525641025641,8.733974358974358,0,0,0
GR,Green Rock,GR1,5.12,39.519999999999996,1.44,6.32,47.44,0.16,0,0,0
GR,Green Rock,GR2,13.76,27.200000000000003,0.72,3.52,54.72,0.08,0,0,0
GR,Green Rock,GR3,14.719999999999999,45.28,2.2399999999999998,2.48,34.4,0.88,0,0,0
GR,Green Rock,GR4,7.4399999999999995,58.08,2.56,2.56,28.560000000000002,0.8,0,0,0
GR,Green Rock,GR5,35.464620630861035,29.15601023017903,4.0068201193520885,6.990622335890878,23.614663256606992,0,0.5115089514066496,0.08525149190110827,0.17050298380221654
GR,Green Rock,GR6,59.210526315789465,20.394736842105264,2.138157894736842,5.016447368421053,9.12828947368421,0,4.111842105263158,0,0
GR,Green Rock,GR7,52.8441879637263,26.380873866446823,3.3800494641384993,0.24732069249793898,7.5845012366034625,0,9.398186314921682,0.16488046166529266,0
GR,Green Rock,GR8,12.631578947368421,60.21052631578947,6.842105263157896,4.526315789473685,14.631578947368421,0.5263157894736842,0,0.631578947368421,0
RR,Red Rock,RR1,2.4,48.4,6.88,2.88,38.879999999999995,0.5599999999999999,0,0,0
RR,Red Rock,RR2,2.88,55.84,3.2,1.76,36.08,0.24,0,0,0
RR,Red Rock,RR3,5.4399999999999995,46.88,2.96,3.36,40.88,0.48,0,0,0
RR,Red Rock,RR4,1.6813450760608486,52.44195356285029,3.522818254603683,4.483586869495596,37.389911929543636,0.4803843074459567,0,0,0
RR,Red Rock,RR5,44.807467911318554,39.55659276546091,1.8669778296382729,0,5.950991831971995,0,7.584597432905485,0.2333722287047841,0
RR,Red Rock,RR6,5.877551020408163,50.12244897959184,1.5510204081632653,6.2857142857142865,35.3469387755102,0,0,0.40816326530612246,0.40816326530612246
SI,Shark Island,SI1,1.6012810248198557,75.10008006405124,1.0408326661329064,1.4411529223378703,20.816653322658127,0,0,0,0
SI,Shark Island,SI2,3.2,44.32,1.76,9.04,38.96,2.7199999999999998,0,0,0
SI,Shark Island,SI3,20.16,69.6,0.88,0.48,6.88,0,2,0,0
SI,Shark Island,SI4,26.349717969379533,57.856567284448026,0.40290088638195,0.24174053182917005,12.97340854149879,0,1.4504431909750202,0,0.7252215954875101
SI,Shark Island,SI5,2.3368251410153102,72.19983883964545,1.36986301369863,3.8678485092667207,20.1450443190975,0.08058017727639001,0,0,0
SI,Shark Island,SI6,0.48,81.28,1.92,1.1199999999999999,15.040000000000001,0.16,0,0,0
SI,Shark Island,SI7,29.2,44.96,3.84,3.36,18.64,0,0,0,0
TB,Tanote Bay,TB1,10.96,66.64,0.16,0.64,21.36,0.24,0,0,0
TB,Tanote Bay,TB2,11.128903122497999,55.084067253803035,1.3610888710968776,1.2810248198558847,30.34427542033627,0.8006405124099278,0,0,0
TB,Tanote Bay,TB3,22.24,55.2,2.64,2.08,17.44,0.4,0,0,0
TB,Tanote Bay,TB4,26.10088070456365,46.036829463570854,2.481985588470777,3.4427542033626897,21.617293835068054,0.32025620496397117,0,0,0
TB,Tanote Bay,TB5,28.755020080321287,51.64658634538153,3.775100401606426,0.08032128514056225,11.887550200803213,0,3.8554216867469884,0,0
TB,Tanote Bay,TB6,41.36807817589577,35.50488599348534,2.5244299674267103,0.08143322475570033,13.517915309446254,0.16286644951140067,6.596091205211726,0,0.24429967426710095
TB,Tanote Bay,TB7,32.90529695024077,48.31460674157304,0.16051364365971107,10.192616372391655,6.982343499197431,1.2038523274478332,0,0.08025682182985554,0.16051364365971107
TW,Twins,TW1,12.489991993594876,51.24099279423538,1.200960768614892,5.764611689351481,27.381905524419537,1.921537229783827,0,0,0
TW,Twins,TW2,20.850040096230956,31.916599839615078,2.0048115477145148,3.6888532477947074,40.577385725741784,0.9623095429029671,0,0,0
TW,Twins,TW3,14.000000000000002,36.559999999999995,0.96,3.6799999999999997,44.4,0.4,0,0,0
TW,Twins,TW4,13.84,26.479999999999997,1.28,2.4,56.00000000000001,0,0,0,0
TW,Twins,TW5,33.41346153846153,42.38782051282051,0.641025641025641,5.208333333333334,16.907051282051285,0.08012820512820512,0,0.8814102564102564,0.4807692307692308
